WKT,FID,LSOA21CD,LSOA21NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
POINT (-2.39396 53.54847),4599,E01004859,Bolton 032B,373994,405831,-2.39396,53.54847,340804.5544,4101.032697,f81e28a5-e511-483f-a9c7-f5e5fbcb58aa
POINT (-2.40298 53.5463),4600,E01004860,Bolton 032C,373395,405592,-2.40298,53.5463,293705.0842,4050.04827,18a9772b-a636-4902-a54e-40bf0a4e1c69
POINT (-2.41542 53.54254),4601,E01004861,Bolton 033A,372568,405179,-2.41542,53.54254,494972.5519,4152.464168,58936da4-c8bc-492b-9964-dc5994b8c5ea
POINT (-2.40801 53.54438),4602,E01004862,Bolton 033B,373060,405381,-2.40801,53.54438,277902.4375,4657.19296,e29ceb60-9a4a-4058-af24-5dfc08381c7d
POINT (-2.40653 53.54124),4603,E01004863,Bolton 033C,373156,405031,-2.40653,53.54124,285684.9946,3367.61621,ce634c41-3ef5-468e-9187-8757736b3778
POINT (-2.44954 53.59709),4604,E01004864,Bolton 008A,370345,411262,-2.44954,53.59709,217534.3295,3160.235027,f4ca689d-cafe-4362-b0cb-5ae1cd32a3ad
POINT (-2.4444 53.59515),4605,E01004865,Bolton 011D,370684,411043,-2.4444,53.59515,258323.8036,3395.584795,9154f215-46c3-46c6-a311-f570a1751150
POINT (-2.44312 53.58771),4606,E01004866,Bolton 011E,370764,410215,-2.44312,53.58771,384294.6875,3515.226402,028463cd-26c0-4e34-a900-0946058f229b
POINT (-2.44732 53.59129),4607,E01004867,Bolton 008B,370488,410615,-2.44732,53.59129,182207.366,3065.151598,a3cecaf6-0df7-4c88-8d8e-849dca4a3622
POINT (-2.45302 53.58195),4608,E01004868,Bolton 015A,370104,409579,-2.45302,53.58195,189105.129,2918.959512,33146cae-94ee-4f62-8a1b-f613501cb0e2
POINT (-2.45014 53.58593),4609,E01004869,Bolton 015B,370298,410020,-2.45014,53.58593,261075.6643,3557.37169,6a8077d3-03a2-4665-bd84-757dd37b5013
